id	filename	md5	size	state
22ba6691-d4b9-4067-9acd-17cf251d89b7	8ae968b8-8b1f-433a-8d92-5ea3413bd4be.rna_seq.augmented_star_gene_counts.tsv	b46730b5c4ebaed5923f2ea62300a664	4237066	released
c87e7072-34b2-4aab-bfb8-0fd61d926fb0	0d71c5a0-b2f3-40b8-a6bc-0dd1d3035fb1.rna_seq.augmented_star_gene_counts.tsv	9128adba85436debb62708711703cfef	4238049	released
6adeb3ef-4d4d-4e3f-945e-c4e39fad122d	68617c39-3baa-4f30-9ad1-ae550ff38cd9.rna_seq.augmented_star_gene_counts.tsv	b2774b569e2090fa3b2d126ea97bf008	4217810	released
1d209e9f-bec9-4d4d-9805-837ebd62c103	7def548f-8d54-41a3-a6b7-99b2f2abc894.rna_seq.augmented_star_gene_counts.tsv	5c885c74a23c64b260b44b1038fab4b1	4214421	released
06c46190-b2e2-4c28-9dd8-ec9df9b3faac	a7d9074b-3fcc-4563-ba1b-d2fea419a167.rna_seq.augmented_star_gene_counts.tsv	99ea7fd381504bcfd8f390ff0f74894d	4237739	released
9cd8121a-2c9d-4a60-9235-8f3f5702b5cc	e4345398-dec9-492f-8108-83e336bb2e12.rna_seq.augmented_star_gene_counts.tsv	734ae14e2f17b47088d2928aeb26eda7	4241925	released
fbe956a0-66f9-4781-8f71-0a579f0d6921	f5291004-61f8-4c1a-a9c1-a18e91929e4e.rna_seq.augmented_star_gene_counts.tsv	832be700593356243e95074599ff4ae1	4230337	released
8ed43daa-0118-4481-9e7e-71c4b709b626	37805a9e-4343-4cdb-b817-35a0f21ae98d.rna_seq.augmented_star_gene_counts.tsv	1f1b664de7d02c1518518cda9403119b	4225701	released
116d6aa9-7b48-493d-88b0-d620d0fb1da4	523eef0c-f788-4bf6-bebb-908ffb4f7fb6.rna_seq.augmented_star_gene_counts.tsv	a3e946d2070bf7f87e804f7c84dae0a2	4250595	released
622b94ac-8bef-4606-8dcb-5ec6eeba3dfe	d80870b7-539d-4b03-b205-9becaaaf6921.rna_seq.augmented_star_gene_counts.tsv	c3bee00d39bcd24d3b10915750039fb5	4221660	released
2399c612-2197-4e5b-8b3a-7c9927da9ea6	a2fa11ea-71e4-45b8-81ce-4e1b75eac180.rna_seq.augmented_star_gene_counts.tsv	e0c7fb7e0b236f5d47174db324fd8b53	4223214	released
34e3a8ec-b5c4-45e7-8370-fda9d20deaec	8e78d4b9-7fc2-41e1-9d56-d4435e062ca3.rna_seq.augmented_star_gene_counts.tsv	42db42e177817cc9e49e34ec4b32c408	4203298	released
2f31d626-547f-4163-a934-4550c7302dc5	e6c8e8c5-320d-48c7-bda7-0926977c1fb7.rna_seq.augmented_star_gene_counts.tsv	124070f94a11b8d2cb988fbda29dc0a7	4224295	released
044de6e3-52f7-493c-b8d2-6aeca52375ea	cbaca6c1-9e91-48ea-b3e6-3a476624bb27.rna_seq.augmented_star_gene_counts.tsv	a0eec067a406f2e4331418f6fd8ba5ee	4240373	released
24bd3bd0-24c5-4db8-9e04-429c3c08015c	6e4be81a-7e2f-428a-aaf4-7a028494df2d.rna_seq.augmented_star_gene_counts.tsv	e53d755d0c202eacb8c58d5d2321afb4	4230387	released
f8b3eb55-0a76-4f8c-bf8c-f99767c352fd	84c189b8-d7ea-408c-83c0-2eab33fd22c3.rna_seq.augmented_star_gene_counts.tsv	61460a3bb1fdc40a20a840edc8152052	4228592	released
9826930c-b7bd-49ba-b824-1f940e207f4b	f8514d71-3592-4b54-b4ef-fd3373bea997.rna_seq.augmented_star_gene_counts.tsv	118d601e6de1262e3503cb5b8897b631	4234837	released
9678c5cb-97be-4f76-a161-fece8b5982cd	5982e29e-b818-42b1-87bc-bf55f9d943c1.rna_seq.augmented_star_gene_counts.tsv	5af2bffad466dc555548b6a11340092b	4213317	released
51d9078e-4e0f-4f3e-979a-4f08695757b4	596ac9ca-ef00-4244-aac4-88e36311a9e5.rna_seq.augmented_star_gene_counts.tsv	85cb571c09bb4cb853a1cad5cfaad304	4215934	released
0302ccdb-2853-4679-be48-de365da40545	6d0be676-7196-464a-b521-8f0ecd6322f2.rna_seq.augmented_star_gene_counts.tsv	25e8ef1889595be59e62b8fb1a8e3377	4220912	released
e4e6b6d0-e0d8-4477-bdcc-57daf4468e92	08954bf4-09d7-4702-8d53-8e4c86d31fe2.rna_seq.augmented_star_gene_counts.tsv	bb15ce4bb8304bb422332bdb31a1e6aa	4214885	released
b74fe897-74ee-4c1e-87bd-4e18dd64284e	fa587e44-95e2-49d0-9001-f75a126cd6a1.rna_seq.augmented_star_gene_counts.tsv	6c2b4be8c6c8c0dfb8647e7298e4237d	4244685	released
ce6dbffc-c526-4f4a-90de-ba402b2b63ef	4fbdd1f0-c83a-4634-bf6a-2dd37560f9f2.rna_seq.augmented_star_gene_counts.tsv	a747215d68c16943a775c9f4e5b3a934	4242327	released
ee3bb002-0561-4bf4-85bf-d4425036579c	2df3ce06-cf8f-477b-83e5-c5fdb8473d86.rna_seq.augmented_star_gene_counts.tsv	b75ebb7ea2a999acaeb07fe1b30ea64e	4230762	released
045ffab4-4408-4550-b46c-ba0b237bb00f	7f03f1ba-e5b2-47da-bed0-d178d3229b92.rna_seq.augmented_star_gene_counts.tsv	d2b53674f89cf3d7ba5da34efe36db55	4223489	released
50fd12e8-71e9-40e9-8752-33cc2b537000	44d6fd71-0853-48e6-82c8-c4c1978278aa.rna_seq.augmented_star_gene_counts.tsv	dcd8d537a08e55d53fbc3a7c8b3cd6a8	4246580	released
71ebdd7f-ea9a-4b10-82ca-b0d2f6c0c7cb	44034f69-a8c2-4959-a3b9-aceb889c15b4.rna_seq.augmented_star_gene_counts.tsv	0d704c8ff3876d1fe3d1dfb2cc3e51e1	4219142	released
a4ff09d2-4f62-403d-bed7-c8121af0e828	7b6a97e1-261b-4e71-a1bd-eeb86b917a94.rna_seq.augmented_star_gene_counts.tsv	313cd07f7dff2548887c4e222cac4f03	4234249	released
b3ca6741-7a52-425b-a8f3-d52abc185742	fcd0f958-124f-4a93-8361-be002944e75b.rna_seq.augmented_star_gene_counts.tsv	4c53835cdadb60b871c9a8358efd6e02	4237678	released
ef3eab99-6232-4f1c-83aa-cc8dcd425c9a	d077ac9a-e7f8-485c-a32b-824d59177f08.rna_seq.augmented_star_gene_counts.tsv	3638decb61a9c285004389fdde4fc3fa	4240193	released
